LSOA11CD,imd_rank,imd_score,income,employment,education,health,crime,housing,living_env,idaci,idaopi,IDfetex,iMEAN1,iDEVST1,iMAJORITY1,iMEAN2,iDEVST2,iMAJORITY2,iMEAN3,iDEVST3,iMAJORITY3,iMEAN_EDG,iDEVST_EDG,iUNIFOR,iENTROP,iCONTRAS,iIDM,iCOVAR,iVARIAN,iCORRELAC,iSKEWNESS,iKURTOSIS,iRVF,iRSF,iFDO,iSDT,iMFM,iVFM,iDMF,iRMM,iSDF,iAFM,f1,f2,f3,f4
"E01006796",27668,7.26,.04,.05,1.84,-.13,-.11,23.9,10.98,.03,.05,263,64.18389,27.00611,58,66.69498,25.21596,73,56.7656,25.50104,49,8.7405,6.99798,.0206433,1.942844,17.2826,.4308163,35.17593,43.81723,.8027876,1.060877,2.879225,4.733912,1.540384,83.25133,4.40516,519.6247,.390666,365.5652,1.230142,-245.9776,3196.726,-1.135148,-.2084361,.7560853,1.122858
"E01006797",4563,39.81,.25,.25,29.59,1.67,-.01,17.76,22.56,.26,.33,264,66.29253,27.64588,58,66.71923,25.998,69,58.36678,25.40708,49,10.9326,7.82383,.0143915,2.044355,24.7345,.367876,33.32286,45.69011,.7293232,.6885237,1.102829,3.54015,1.474982,102.5536,-6.714128,590.6999,.2101346,374.7895,1.177047,-270.2078,3372.097,-.6800151,.7917801,-1.063652,.5913579
"E01006798",20719,12.96,.1,.1,9.74,.23,-.57,8.8,19.41,.12,.14,265,70.08315,29.73254,58,70.97061,27.65722,73,61.24598,27.58064,49,11.0534,8.12155,.013637,2.08295,25.22787,.3740896,40.24549,52.85942,.7613683,.7129633,1.045645,3.932277,1.489023,109.9695,-1.124126,677.4739,.2871836,452.5978,1.214588,-307.2201,3962.518,-.3895387,.8772926,-.4729992,.814094
"E01006799",8124,30.26,.25,.21,12.49,1.11,-.78,10.63,26.5,.22,.33,266,70.41564,31.07571,58,71.55238,29.34433,73,64.22651,29.6881,49,9.89291,7.86419,.0159288,2.02648,20.7195,.4056104,47.30851,57.66825,.8203561,1.253048,3.22195,5.095559,1.488164,92.50571,2.126041,622.1687,.3824372,432.6716,1.287727,-253.6566,3593.075,.0160561,-.0706277,.0997597,.8016363
"E01006800",21134,12.57,.08,.12,5.65,.24,-.53,11.16,12.76,.06,.1,267,67.35805,27.68495,58,70.75264,25.65073,69,59.96779,25.85485,49,9.9247,7.63239,.0169906,2.006214,20.95169,.3988703,35.43522,45.91107,.7718231,.849964,1.626734,4.063757,1.496289,93.62546,1.313549,563.1663,.2741875,374.5154,1.202324,-260.5734,3346.081,-.5831552,.3003835,-.3537732,.6270307
"E01006801",21501,12.25,.09,.08,8.84,.47,-.9,14.98,15.63,.07,.15,268,75.03764,28.75702,74,75.85587,26.3488,85,65.37292,25.57255,66,9.23849,7.54789,.0174267,2.000765,18.24969,.4294931,40.153,49.27785,.8148287,.6373332,1.131145,4.976553,1.498923,82.91464,.4986053,508.1254,.298855,341.9381,1.239028,-220.4819,2979.076,.2281703,-.1846993,-.4425945,-.5345728
"E01032505",6574,33.87,.22,.18,28.28,.89,.22,37.7,20.65,.34,.23,269,73.49425,28.07754,74,75.76341,25.22994,77,62.23512,25.96177,58,8.53079,7.44925,.0212428,1.941673,16.87132,.4472379,38.66614,47.1018,.8209057,1.200228,4.031657,5.154292,1.496752,75.97807,2.628067,502.215,.3754019,349.2653,1.226648,-235.4393,3019.509,.0427754,-.7582085,-.3246908,.6402079
"E01032506",5168,37.91,.23,.2,25.6,1.59,-.06,9.95,53.51,.31,.29,270,76.00189,31.5027,58,76.29416,28.82077,77,66.2242,28.38394,49,9.60879,8.20372,.0184125,2.025345,20.01186,.4343861,49.00787,59.01379,.8304476,1.002529,1.899574,5.391573,1.50429,92.80856,7.717974,655.3199,.7363002,471.2817,1.414933,-199.368,1849.041,.0878022,.0424575,1.708381,-1.01204
"E01032507",10486,25.67,.18,.13,17.6,.93,-.38,7.2,51.67,.3,.28,271,78.81255,33.19531,49,72.5227,30.42424,45,66.81914,28.37978,41,12.0627,8.19041,.010662,2.146336,26.33919,.3467117,52.32286,65.49245,.7989143,.3671752,-.4103037,4.641792,1.490689,116.4876,12.75806,867.9871,.8734561,630.5914,1.527898,-172.383,2709.76,-.3608035,1.626974,2.942631,-2.065266
"E01032508",1002,59.12,.36,.27,57.37,1.91,1.12,11.81,54.13,.42,.47,272,74.42928,35.25032,58,74.58051,33.86242,69,67.76701,34.36364,49,10.035,7.82234,.0139213,2.078257,22.16988,.4008885,63.12396,74.2089,.8506252,1.330322,3.053714,6.268899,1.496651,98.44294,2.971225,654.357,.3858325,456.1434,1.290797,-265.858,3790.064,.6922467,-.1692729,.2013306,.7964311
"E01032509",1251,56.82,.36,.26,45.37,1.64,1.08,10.35,69.36,.49,.38,273,91.70646,43.55184,99,89.80936,43.17055,101,83.61819,41.7128,90,9.82459,7.9805,.0114325,2.191439,24.13171,.4153364,100.7517,112.8176,.8930499,.8909481,.8265964,8.871489,1.474137,101.3698,9.702893,793.4159,.5629658,579.6174,1.374754,-282.2816,4572.24,2.955069,-.2320521,.5072318,-1.023303
"E01032510",4740,39.25,.24,.19,32.06,1.43,.74,11,49.88,.32,.27,274,81.90129,35.54939,74,80.07072,33.20314,73,71.74763,33.22609,74,10.6516,8.66325,.012595,2.137109,24.42412,.39404,63.06446,75.27652,.8377706,.9641365,1.749838,5.811686,1.462193,100.5166,-1.433574,656.3473,.3012839,438.8696,1.289502,-248.8555,3658.567,1.485468,.0638943,-.8676624,-.3004545
"E01032511",4319,40.67,.26,.21,42.61,1.39,.11,32,21.62,.39,.27,275,86.15063,39.52231,66,87.20754,38.1763,73,78.63801,40.59933,49,10.308,10.1552,.0153513,2.135462,27.11284,.4357713,79.51441,93.07083,.854343,1.207527,1.918877,6.416695,1.47816,116.3981,-1.938834,757.7261,.3269459,514.2969,1.295951,-290.0471,4313.702,2.498701,-.1614038,-1.055336,.3205186
"E01033747",29,80.32,.51,.44,71.32,2.77,1.85,16.56,37.65,.52,.51,276,80.55389,31.12463,74,80.56697,28.62904,77,70.83342,28.41138,58,10.7618,9.26644,.0161776,2.087701,26.25573,.4067463,44.83383,57.96169,.773508,.5578492,1.097038,4.188241,1.433168,100.1864,1.623752,681.3155,.3325488,450.0277,1.252277,-278.1473,2722.166,.9612755,.5563763,-1.162253,-.7222744
"E01033748",16004,17.87,.07,.05,14.58,.93,-.8,38.77,25.66,.21,.21,277,95.53183,44.9389,90,95.60373,44.86464,89,88.28871,45.58189,82,10.2065,9.78939,.0141634,2.161937,24.77414,.4340706,107.8163,120.2034,.8969491,1.077601,.9934139,9.014135,1.47517,106.4902,7.569312,864.0508,.6389892,639.941,1.437991,-261.4947,4798.402,3.690135,-.3612259,.4291252,-1.139947
"E01033749",22984,11.02,.02,.01,8.14,.82,-.66,28.88,15.94,.14,.23,278,67.70665,30.20434,49,73.00292,28.19604,69,60.97128,26.91748,49,6.05428,6.77871,.0381057,1.778477,11.3356,.5649373,48.70093,54.36873,.8957526,1.750412,5.144005,8.973021,1.541942,55.09792,7.566105,447.2267,.856966,345.5593,1.386926,-172.5157,2680.799,.0018858,-2.204253,2.207548,.3319149
